SN_id,peak_mag,15_mag
ASASSN-15fa,-18.991759219825195,-17.637480612910444
LSQ12gdj,-19.78564017839119,-19.199882998234663
SN1986G,-14.825790156711097,-13.149166780087194
SN1991T,-18.841852725587813,-18.027978851713872
SN1995al,-18.796818820794932,-17.865152154128268
SN1995bd,-16.411813447471225,-15.396193612760474
SN1996bo,-17.629374278362455,-16.233287321841456
SN1997cn,-16.826662482156337,-14.972431712925584
SN1998ab,-18.387212547196626,-16.772235134465582
SN1998de,-16.562719677709342,-14.77511967771008
SN1998ec,-17.942094628571468,-16.376930992207914
SN1999ac,-18.39839458521128,-17.275190503578415
SN1999by,-16.984356478278823,-15.12757430006083
SN1999cl,-15.217963425791126,-14.052663425790755
SN1999da,-16.896968799114838,-14.82175052500346
SN2001ay,-18.96460283578204,-18.029989351842605
SN2001bg,-17.4300964736696,-16.42157777042779
SN2001br,-18.36005212234096,-17.11763858850659
SN2001eh,-19.199599913279624,-18.637425416635352
SN2001en,-18.793899869919436,-17.504243459662923
SN2002bf,-18.464130378462475,-16.858745797481618
SN2002bo,-17.727240091670815,-16.328988166999515
SN2002cu,-18.75104229536347,-17.365000628696627
SN2002dj,-18.537008620334973,-17.39194841966632
SN2002dl,-17.667374278362455,-15.913707611695546
SN2002es,-17.0683063169585,-15.797244881219143
SN2002he,-18.804132489703118,-17.686658805492854
SN2003fa,-19.392546408629315,-18.609351030749426
SN2003gq,-16.310473013452402,-14.660079231068899
SN2004dt,-19.370998269535136,-18.512411064396712
SN2004ef,-18.348734806962657,-17.065749263216976
SN2005M,-19.02917597298775,-18.251475447593496
SN2005cc,-16.162008620334976,-14.211705137747924
SN2005eq,-18.77552425668236,-17.95542134332628
SN2005hj,-19.24937467526937,-18.512913859437237
SN2005hk,-17.744968799114837,-16.46084991066301
SN2005ke,-17.268818820794934,-15.526984875816243
SN2006H,-15.951073694124702,-13.775271862406196
SN2006X,-15.684599913279627,-14.501508828422462
SN2006bq,-18.469,-16.906665568617314
SN2006br,-15.706130378462476,-14.423379489794392
SN2006cp,-18.742212547196626,-17.874105523785506
SN2006em,-16.487,-15.177261083743954
SN2006hb,-18.08770274726791,-16.3656623948741
SN2006ot,-18.784087877902373,-17.891786542429347
SN2007S,-17.888374278362456,-17.0438937786446
SN2007ba,-17.796074001270473,-15.926304483065415
SN2007cq,-19.098072555809203,-18.498007216667965
SN2007le,-17.458768004764146,-16.480506250799976
SN2008A,-17.841490200071284,-16.14577100616892
SN2008ae,-17.17381192393673,-15.829676335616856
SN2008af,-18.36776427892218,-16.415182855620305
SN2008ha,-13.340149978319907,-11.120010605497647
SN2009dc,-19.63755936499308,-18.77616063375268
SN2009ig,-19.044569699389434,-18.34582927496802
SN2010ae,-11.818212547196627,-11.224233350317096
SN2011ay,-17.834859971490346,-16.4515896872792
SN2012Z,-17.775638787614906,-16.12597290674125
SN2012dn,-18.945976558283185,-18.185754336060725
SN2013dh,-16.376318998353273,-15.377402575993074
SN2013hh,-16.27382394846385,-15.152894633887009
SN2014J,-15.538158142561306,-14.671192378872048
SN2014ek,-17.4311666964939,-15.768141903105356
SN2016bfu,-17.122099951688327,-15.391366479291719
SN2016bln,-19.285279944183777,-18.360915884510447
SN2017fzw,-17.721056208558032,-15.911415721367531
SN2017htb,-18.64497735551824,-17.79163096324714
