SN_id,peak_mag,15_mag
LSQ12gdj,-19.18064017839119,-18.49764017839109
OGLE-2012-SN-040,-18.14121456016335,-17.60948081119027
OGLE-2014-SN-024,-18.717206186877938,-18.12370016529099
OGLE-2014-SN-107,-19.348801945134195,-18.930239479456613
SN1991T,-18.881852725587812,-18.45004690034509
SN1995al,-18.62681882079493,-18.261029347110735
SN1996bo,-18.109374278362452,-17.589707611695857
SN1997cn,-17.88666248215634,-17.08587816843082
SN1998ab,-18.298212547196627,-18.162450740215103
SN1998de,-17.626719677709342,-16.87646967770964
SN1998ec,-18.195094628571464,-17.814124931601754
SN1999ac,-18.42439458521128,-18.037450334340186
SN1999aw,-19.138538498504275,-18.724467069932924
SN1999by,-17.756356478278825,-16.85025647827908
SN1999cl,-17.131963425791128,-16.549575366089634
SN1999da,-17.71296879911484,-17.055074859720875
SN2001V,-19.45426005821072,-18.454879908581997
SN2001bg,-17.4400964736696,-16.771278291851424
SN2001br,-18.47605212234096,-17.830022047152877
SN2001eh,-19.028599913279624,-18.510160315964377
SN2001en,-18.638899869919438,-17.911490270599014
SN2002bf,-18.367130378462473,-17.880932933617732
SN2002bo,-18.211240091670817,-17.75136069468565
SN2002cu,-18.65504229536347,-17.956639310288814
SN2002cx,-18.787419721069536,-18.592419721069195
SN2002dj,-18.504008620334975,-17.84130862033481
SN2002dl,-17.866374278362454,-17.62202733958681
SN2002es,-18.164306316958502,-17.71213372812588
SN2002he,-18.721132489703116,-17.982343016018866
SN2003fa,-19.091546408629316,-18.605882633455522
SN2003gq,-17.2454730134524,-16.626633334093597
SN2005cc,-17.191008620334976,-16.79363548600656
SN2007le,-17.609768004764142,-17.036175221259036
SN2008ha,-14.227149978319908,-13.366724978319834
SN2009dc,-19.670459364993082,-19.354361395449896
SN2012dn,-19.10597655828319,-18.93852201282862
SN2014J,-17.6871581425613,-17.00353811236502
SN2014ek,-18.0851666964939,-17.458637770874056
