SN_id,peak_mag,15_mag
ASASSN-15fa,-19.522659219825194,-18.54882979755786
LSQ12gdj,-19.78064017839119,-19.0175700429782
SN1991T,-19.061852725587812,-18.493523958464504
SN1995al,-19.456818820794933,-18.613961677937866
SN1995bd,-17.211813447471226,-16.51768121606626
SN1996bo,-18.029374278362454,-17.348421897410223
SN1997cn,-17.666662482156337,-16.230011106009542
SN1998ab,-18.55521254719663,-17.743959980461494
SN1998de,-17.287719677709344,-15.95472998698785
SN1998ec,-18.331094628571467,-17.542900689177518
SN1999ac,-18.52139458521128,-17.730870313366687
SN1999by,-17.451356478278825,-16.202176478279007
SN1999cl,-16.337963425791123,-15.4651000924579
SN1999da,-17.44496879911484,-16.22880294545618
SN2001ay,-19.09260283578204,-18.72011166659472
SN2001bg,-17.811096473669597,-17.09600556457875
SN2001br,-18.49705212234096,-17.70677939506842
SN2001eh,-19.263599913279624,-18.76745270515777
SN2001en,-18.832899869919437,-18.15983320325273
SN2002bo,-18.146240091670816,-17.42881972356532
SN2002cu,-18.83404229536347,-18.14356312869672
SN2002cx,-18.637419721069538,-17.767003054403013
SN2002dj,-18.713008620334975,-18.029441456155883
SN2002dl,-17.830374278362456,-16.82250585730962
SN2002es,-17.6233063169585,-17.133306316958706
SN2002he,-19.387132489703117,-18.272290384440065
SN2003fa,-19.342546408629318,-18.92812719670832
SN2003gq,-16.5584730134524,-15.550551960821043
SN2004dt,-19.449998269535136,-18.62892847969519
SN2004ef,-18.465734806962658,-17.689901995504123
SN2005M,-18.98717597298775,-18.48462450844938
SN2005cc,-16.558008620334974,-15.491604475256878
SN2005eq,-18.85352425668236,-18.35768997745418
SN2005hj,-19.36837467526937,-18.81569988287715
SN2005hk,-17.98096879911484,-17.090806012630562
SN2005ke,-18.01481882079493,-16.78029095030631
SN2006H,-16.9420736941247,-15.6296424462797
SN2006X,-17.046599913279625,-16.120808828323792
SN2006bq,-18.712,-17.940576320295815
SN2006br,-16.729130378462475,-15.952104745152305
SN2006em,-17.495,-16.09105273566241
SN2006hb,-18.440702747267913,-17.404352983607
SN2006ot,-19.016087877902372,-18.23198083866694
SN2007S,-18.285374278362454,-17.65873757700326
SN2007ba,-18.11807400127047,-16.855756698284615
SN2007cq,-19.2420725558092,-18.43109275782938
SN2007le,-17.784768004764146,-17.178344261062982
SN2008A,-18.136490200071286,-17.35205822160286
SN2008ae,-17.73181192393673,-16.517503199104542
SN2008af,-18.71376427892218,-17.691656660362852
SN2008ha,-13.870149978319905,-12.604744037726256
SN2009dc,-19.71715936499308,-19.434757051028104
SN2009ig,-19.170569699389436,-18.573758232529514
SN2010ae,-12.667212547196627,-12.043593617692807
SN2011ay,-18.174859971490346,-17.727262799472484
SN2012Z,-18.093638787614907,-17.307279564313916
SN2012dn,-19.085976558283186,-18.634976558283405
SN2013dh,-16.420318998353274,-16.239033203220313
SN2014J,-16.824158142561302,-16.146837404819586
SN2014ek,-18.176166696493897,-16.827932653940625
SN2016ajf,-18.720688374318975,-17.43491584524946
SN2016bfu,-17.798099951688325,-16.618359142472695
SN2016bln,-19.187468484183775,-18.44747478953881
SN2016ccj,-19.44789185184038,-18.910389726029717
SN2016ija,-13.401051998250264,-12.051772162857738
SN2017dzs,-17.748755666447153,-16.679741521833662
SN2017fzw,-18.233056208558033,-17.269019721675914
SN2017htb,-19.11277735551824,-18.467932694151667
